"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Тестирование UI сайта https://izumclub.ru/","Переходы по основным разделам","","0","0","16","0","0"
"Тестирование UI сайта https://izumclub.ru/","Тестирование страницы категории","","0","0","6","0","0"
"Тестирование UI сайта https://izumclub.ru/","Форма быстрого заказа товара","","2","0","7","0","0"
"Тестирование UI сайта https://izumclub.ru/","Изменение счетчиков в шапке для разделов: сравнение   ,    избранное   ,    корзина","","0","0","5","0","0"
